domain,cctld,country,niche
malamute.de,de,Germany,outdoor-apparel
about-you.de,de,Germany,fashion
about-you.nl,nl,Netherlands,fashion
about-you.at,at,Austria,fashion
about-you.fr,fr,France,fashion
zalando.com,eu,Europe,fashion-shoes
otto.de,de,Germany,department-store
empik.com,pl,Poland,books-music-toys
morele.net,pl,Poland,electronics
ceneo.pl,pl,Poland,price-comparison
alluree.de,de,Germany,cosmetics
neckermann.de,de,Germany,department-store
bestellen.nl,nl,Netherlands,general-shopping
kleertjes.nl,nl,Netherlands,kids-fashion
baby-markt.de,de,Germany,kids-products
ernsting-family.de,de,Germany,fashion
kik.de,de,Germany,fashion
primark.com,ie,Ireland,fashion-budget
decathlon.com,fr,France,sports-equipment
intersport.com,de,Germany,sports-equipment
hummel.com,dk,Denmark,sportswear
hummel-dk.com,dk,Denmark,sportswear
eleven-beauty.com,se,Sweden,beauty
primor.eu,es,Spain,beauty
kultivi.io,it,Italy,organic-food
dama-concept.com,it,Italy,fashion
l-atelier-global.com,de,Germany,jewelry
native-union.com,eu,Europe,tech-accessories
emiw.de,de,Germany,eco-products
grids.com,de,Germany,home-products
sumo-online.de,de,Germany,fashion
bonprix.de,de,Germany,fashion
avon.de,de,Germany,beauty
lancasteronline.it,it,Italy,home-decor
zara-home.com,es,Spain,home-decor
ikea.com,se,Sweden,furniture
jysk.dk,dk,Denmark,furniture-home
leroy-merlin.fr,fr,France,diy-garden
baumarkt.de,de,Germany,diy-garden
lidl.de,de,Germany,general-retail
dm.de,de,Germany,pharmacy-health
rossmann.de,de,Germany,pharmacy-health
deichmann.com,de,Germany,footwear
schuh.de,de,Germany,footwear
foot-locker.de,de,Germany,sports-footwear
jack-wolfskin.com,de,Germany,outdoor-apparel
puma.com,de,Germany,sportswear
adidas.com,de,Germany,sportswear
nike.com,eu,Europe,sportswear
ccc.eu,pl,Poland,footwear
reserved.com,pl,Poland,fashion
house-of-fragrances.com,de,Germany,fragrances
flaschenpost.de,de,Germany,beverages
myprotein.com,eu,Europe,fitness-nutrition
prozis.com,pt,Portugal,fitness-nutrition
gopink.it,it,Italy,home-wellness
fitnessboutique.fr,fr,France,fitness-nutrition
enervit.com,it,Italy,sports-nutrition
naturin-webshop.de,de,Germany,pet-food
miscota.com,es,Spain,pet-supplies
tierwelt.de,de,Germany,pet-supplies
fressnapf.de,de,Germany,pet-supplies
maxi-zoo.de,de,Germany,pet-supplies
